name,price,owner,driven km,transmission,fuel,body type,mileage,engine cc,max power bhp,wheel size inches,no of seats
Honda Jazz X 2012,"₹ 3,50,000",Second Owner,75600 Km,Manual,Petrol,Hatchback,18.7 kmpl,1198 cc,87 bhp,14 inch,5 Seater
Maruti Suzuki Alto 800 LXi CNG 2016,"₹ 2,85,000",First Owner,52412 Km,Manual,Petrol + CNG,Hatchback,33.44 kmpl,796 cc,40 bhp,12'',5 Seater
Maruti Suzuki Celerio VXi AT 2014,"₹ 3,90,000",First Owner,58000 Km,Automatic,Petrol,Hatchback,23 kmpl,998cc,67 bhp,13 inch,5 Seater
Mahindra Thar CRDe 4x4 2015,"₹ 5,65,000",First Owner,60000 Km,Manual,Diesel,SUV,13 kmpl,2498 cc,105 bhp,16'',5 Seater
Hyundai Verna 1.6 CRDI SX (O) 2012,"₹ 5,10,000",First Owner,88500 Km,Manual,Diesel,Sedan,22.32 kmpl,1582 cc,126.2bhp,16 Inch,5 Seater
Hyundai i20 Sportz 1.4 CRDi 6 Speed BS-IV 2014,"₹ 7,75,000",First Owner,58633 Km,Manual,Diesel,Hatchback,18.60 kmpl,1368 cc,98.5bhp,14 Inch,5 Seater
BMW 7 Series 730Ld M Sport 2016,"₹ 74,67,500",First Owner,18200 Km,Automatic,Diesel,Sedan,11.1 kmpl,2993 cc,262 bhp,19 Inch,4 Seater
Maruti Suzuki Swift Dzire VXI 1.2 BS IV 2014,"₹ 6,25,000",First Owner,48699 Km,Manual,Petrol,Sedan,20.85 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
BMW X5 xDrive30d M Sport 2019,"₹ 71,07,000",First Owner,32600 Km,Automatic,Diesel,SUV,15.97 kmpl,2993 cc,258 bhp,18 Inch,5 Seater
BMW 7 Series 730Ld M Sport 2018,"₹ 97,85,000",First Owner,12000 Km,Automatic,Diesel,Sedan,11.1 kmpl,2993 cc,262 bhp,19 Inch,4 Seater
Hyundai Creta 1.4 S+ Diesel 2017,"₹ 10,75,000",First Owner,65000 Km,Manual,Diesel,SUV,21.38 kmpl,1396 cc,88.7bhp,16'',5 Seater
Maruti Suzuki Swift ZDi 2014,"₹ 5,50,000",First Owner,69227 Km,Manual,Diesel,Hatchback,25.2 kmpl,1248cc,74bhp,14 Inch,5 Seater
Honda Amaze 1.5 VX i-DTEC 2016,"₹ 5,20,000",First Owner,99498 Km,Manual,Diesel,Sedan,25.8 kmpl,1498 cc,99 bhp,14 Inch,5 Seater
Skoda Kodiaq STYLE TDI 4x4 AT 2018,"₹ 26,77,697",First Owner,25000 Km,Automatic,Diesel,SUV,16.25 kmpl,1998 cc,148 bhp,18-inch,7 Seater
Maruti Suzuki Alto K10 VXi 2013,"₹ 2,75,000",First Owner,58000 Km,Manual,Petrol,Hatchback,24.07 kmpl,998 cc,67 bhp,13 inch,5 Seater
Hyundai i10 Magna 1.2 2013,"₹ 2,80,000",First Owner,45000 Km,Manual,Petrol,Hatchback,20 kmpl,1197 cc,80bhp,13 Inch,5 Seater
Audi A4 1.8 TFSI 2011,"₹ 12,50,000",First Owner,42781 Km,Automatic,Petrol,Sedan,18.78 kmpl,1798 cc,170 bhp,16 inches,5 Seater
Hyundai Verna 1.6 CRDI SX 2016,"₹ 6,61,000",First Owner,25000 Km,Manual,Diesel,Sedan,22.32 kmpl,1582 cc,126.2bhp,16 Inch,5 Seater
Maruti Suzuki Swift VDi ABS 2014,"₹ 4,90,000",First Owner,39000 Km,Manual,Diesel,Hatchback,25.2kmpl,1248 cc,74bhp,14 Inch,5 Seater
Mahindra XUV500 W8 2WD 2013,"₹ 9,20,000",First Owner,53200 Km,Manual,Diesel,SUV,14 kmpl,2179 cc,140 bhp,17 Inch,5 Seater
Maruti Suzuki Swift Dzire LDi BS-IV 2010,"₹ 2,51,000",First Owner,63000 Km,Manual,Diesel,Sedan,14 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
Maruti Suzuki Wagon R Duo LXi 2009,"₹ 1,51,000",First Owner,21000 Km,Manual,Petrol,Hatchback,14.4 kmpl,998 cc,61.7bhp,13'',5 Seater
Maruti Suzuki Baleno Alpha 1.2 2016,"₹ 4,89,000",First Owner,51000 Km,Manual,Petrol,Hatchback,21.4kmpl,1197 cc,83 bhp,16 Inch,5 Seater
Hyundai Creta 1.4 S+ Diesel 2017,"₹ 8,83,000",First Owner,27000 Km,Manual,Diesel,SUV,21.38 kmpl,1396 cc,88.7bhp,16'',5 Seater
Toyota Innova Crysta 2.4 GX 8 STR 2019,"₹ 16,98,000",First Owner,45000 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,8 Seater
Toyota Fortuner Sigma 4 2019,"₹ 38,75,000",First Owner,45322 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Mercedes-Benz CLA 200 CDI Sport 2018,"₹ 29,27,000",First Owner,30000 Km,Automatic,Diesel,Sedan,17.9 kmpl,2143 cc,134 bhp,17'',5 Seater
Mitsubishi Pajero SFX 2.8 2008,"₹ 9,25,000",First Owner,55865 Km,Manual,Diesel,SUV,13.5 kmpl,2835 cc,118 bhp,15'',5 Seater
Maruti Suzuki Baleno Alpha 1.2 2017,"₹ 5,62,000",First Owner,45000 Km,Manual,Petrol,Hatchback,21.4kmpl,1197 cc,83.1bhp,16 Inch,5 Seater
Maruti Suzuki Swift DZire VXi 2012,"₹ 4,51,000",First Owner,40255 Km,Manual,Petrol,Sedan,22 Kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Toyota Etios Liva v 2015,"₹ 4,15,000",First Owner,43620 Km,Manual,Petrol,Hatchback,17.71 kmpl,1197 cc,79 bhp,14 Inch,5 Seater
Hyundai Elite i20 Sportz 1.4 CRDi 2018,"₹ 6,75,000",First Owner,37415 Km,Manual,Diesel,Hatchback,22.54 kmpl,1396 cc,89 bhp,14,5 Seater
Hyundai i10 1.1L iRDE Era Special Edition 2012,"₹ 2,25,000",First Owner,68000 Km,Manual,Petrol,Hatchback,19.81 kmpl,1086 cc,68 bhp,13 Inch,5 Seater
Skoda Superb 1.8 L&K TSI AT 2016,"₹ 17,00,000",First Owner,37000 Km,Automatic,Petrol,Sedan,14.7 kmpl,1798 cc,177.46bhp,17 Inch,5 Seater
Maruti Suzuki Ignis Zeta 1.2 MT BS6 2021,"₹ 6,35,000",First Owner,861 Km,Manual,Petrol,Hatchback,20.89 kmpl,1197 cc,82 bhp,15 inch,5 Seater
Maruti Suzuki Swift Dzire LDi BS-IV 2013,"₹ 3,52,000",First Owner,55000 Km,Manual,Diesel,Sedan,14 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
Hyundai Creta EX 1.5 Petrol BS6 2020,"₹ 12,50,000",First Owner,11000 Km,Manual,Petrol,SUV,16.8 kmpl,1497 cc,113 bhp,16 inch,5 Seater
Maruti Suzuki Baleno Delta 1.2 2018,"₹ 5,90,000",First Owner,28000 Km,Manual,Petrol,Hatchback,21.4 kmpl,1197 cc,83 bhp,15 Inch,5 Seater
Honda Mobilio V i-DTEC 2014,"₹ 4,97,000",First Owner,1000 Km,Manual,Diesel,MUV,24.5 kmpl,1498 cc,98.6bhp,15 Inch,7 Seater
Honda City S i-VTEC 2009,"₹ 2,50,000",Third Owner,75000 Km,Manual,Petrol,Sedan,26 kmpl,1498 cc,99 bhp,15 inch,5 Seater
Hyundai Santa Fe 2 WD MT 2014,"₹ 10,95,000",First Owner,78000 Km,Manual,Diesel,SUV,14.7,2199 cc,194.3bhp,18 Inch,7 Seater
Mercedes-Benz E-Class E 250 CDI Avantgarde 2013,"₹ 15,50,000",First Owner,31000 Km,Automatic,Diesel,Sedan,14.2 kmpl,2143 cc,204 bhp,17 Inch,5 Seater
BMW 5 Series 520d 2010,"₹ 8,25,000",First Owner,438000 Km,Automatic,Diesel,Sedan,18.48 kmpl,1995 cc,190 bhp,18'',5 Seater
Audi A4 2.0 TDI MULTITRONIC 2012,"₹ 11,84,500",First Owner,53000 Km,Automatic,Diesel,Sedan,16.55 kmpl,1968 cc,141 bhp,16 inches,5 Seater
BMW 5 Series 520d Luxury Line 2016,"₹ 29,87,000",First Owner,28000 Km,Automatic,Diesel,Sedan,18.48 kmpl,1995 cc,184 bhp,"17"" inches",5 Seater
Mercedes-Benz CLA 200 CDI Sport 2016,"₹ 22,66,000",First Owner,36000 Km,Automatic,Diesel,Sedan,17.9 kmpl,2143 cc,134 bhp,17'',5 Seater
Mercedes-Benz C-Class 250 CDI Avantgarde 2011,"₹ 11,63,000",First Owner,17000 Km,Automatic,Diesel,Sedan,19.71 kmpl,2143 cc,204bhp,17'',5 Seater
Honda City 1.5 V AT SUN ROOF 2012,"₹ 5,00,000",First Owner,79000 Km,Automatic,Petrol,Sedan,18 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
Hyundai Verna 1.6 SX 2015,"₹ 6,50,000",First Owner,60270 Km,Manual,Petrol,Sedan,17.4 kmpl,1591 cc,121 bhp,16 Inch,5 Seater
Maruti Suzuki Dzire VXi AMT 2017,"₹ 6,20,000",First Owner,37515 Km,Automatic,Petrol,Sedan,22 kmpl,1197 cc,82 bhp,14 Inch,5 Seater
Mahindra XUV500 W11 (O) 2019,"₹ 19,56,000",First Owner,28638 Km,Manual,Diesel,SUV,16 kmpl,2179 cc,153 bhp,17 Inches,7 Seater
Hyundai Creta 1.4 S Diesel 2018,"₹ 9,75,000",First Owner,25000 Km,Manual,Diesel,SUV,21.38 kmpl,1396 cc,89 bhp,16 Inches,5 Seater
Hyundai Verna 1.6 CRDI SX (O) 2019,"₹ 16,25,000",First Owner,35622 Km,Manual,Diesel,Sedan,25 kmpl,1582 cc,126 bhp,16 Inches,5 Seater
Datsun Redi-GO 1.0 T (O) 2017,"₹ 2,29,000",First Owner,47403 Km,Manual,Petrol,Hatchback,22.5 kmpl,999 cc,67 bhp,13 inches,5 Seater
Mercedes-Benz A-Class A 200d 2019,"₹ 26,00,000",First Owner,14228 Km,Automatic,Diesel,Hatchback,16 kmpl,2143 cc,134 bhp,16 Inch,4 Seater
Maruti Suzuki Baleno Delta 1.2 BS6 2020,"₹ 6,50,000",First Owner,23000 Km,Manual,Petrol,Hatchback,21.01 kmpl,1197 cc,82 bhp,15 Inch,5 Seater
Mahindra XUV500 W6 AT 2017,"₹ 9,50,000",First Owner,58000 Km,Automatic,Diesel,SUV,13.85 kmpl,2179 cc,140 bhp,17'',7 Seater
Volkswagen Jetta 2.0L TDI Highline 2010,"₹ 2,50,000",Fourth Owner,70000 Km,Manual,Diesel,Sedan,19.33 kmpl,1968 cc,138 bhp,16,5 Seater
Renault Duster 110 PS RXZ 2015,"₹ 6,11,000",First Owner,58000 Km,Manual,Diesel,SUV,19.6 kmpl,1461 cc,108.45bhp,16 Inch,5 Seater
Hyundai Santa FE 2WD AT 2014,"₹ 9,85,000",First Owner,75000 Km,Automatic,Diesel,SUV,14.7,2199 cc,194.3bhp,18 Inch,7 Seater
Tata Safari Storme 2.2 VX 4x2 Varicor400 2015,"₹ 4,90,000",Second Owner,86000 Km,Manual,Diesel,SUV,13.9 kmpl,2179 cc,148bhp,16 Inch,5 Seater
Hyundai Creta 1.6 SX+ AT Petrol 2016,"₹ 9,40,000",First Owner,18000 Km,Automatic,Petrol,SUV,15.29 kmpl,1591 cc,122 bhp,16 Inch,5 Seater
Chevrolet Spark LT 1.0 2012,"₹ 1,75,000",First Owner,58000 Km,Manual,Petrol,Hatchback,13 kmpl,995 cc,63 BHP,13 inches,5 Seater
Toyota Innova 2.5 V 7 STR 2014,"₹ 11,75,000",First Owner,65355 Km,Manual,Diesel,MUV,11.4 kmpl,2494 cc,102,15 Inch,5 Seater
Hyundai Venue SX 1.0 Petrol 2019,"₹ 9,45,000",First Owner,700 Km,Manual,Petrol,SUV,18.2 kmpl,998 cc,118 bhp,16 Inches,5 Seater
Mercedes-Benz GLA 200 CDI Style 2018,"₹ 26,00,000",First Owner,20000 Km,Automatic,Diesel,SUV,17.9 kmpl,2143 cc,134 bhp,18 Inch,5 Seater
Chevrolet Beat LT Diesel 2011,"₹ 1,60,000",First Owner,20000 Km,Manual,Diesel,Hatchback,25.44 kmpl,936 cc,57 bhp,14 Inches,5 Seater
Audi Q3 35 TDI quattro Technology 2016,"₹ 26,65,000",First Owner,40000 Km,Automatic,Diesel,SUV,15.77 kmpl,1968 cc,174 bhp,16 inches,5 Seater
Maruti Suzuki Dzire VDi 2018,"₹ 9,75,000",First Owner,25366 Km,Manual,Diesel,Sedan,28.4 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
BMW X5 XDrive 30d 2015,"₹ 37,28,000",First Owner,25000 Km,Automatic,Diesel,SUV,15.3,2993,258bhp,18 Inch,5 Seater
BMW 5 Series 520d Luxury Line 2016,"₹ 35,42,000",First Owner,15000 Km,Automatic,Diesel,Sedan,18.48 kmpl,1995 cc,184 bhp,"17"" inches",5 Seater
Toyota Fortuner Sigma 4 2017,"₹ 25,75,000",First Owner,45000 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Hyundai Elite i20 Sportz 1.4 CRDi 2019,"₹ 7,50,000",First Owner,56000 Km,Manual,Diesel,Hatchback,22.54 kmpl,1396 cc,89 bhp,14,5 Seater
Audi Q3 35 TDI quattro Premium Plus 2014,"₹ 16,50,000",First Owner,71000 Km,Automatic,Diesel,SUV,15.77 kmpl,1968 cc,184 bhp,17 Inches,5 Seater
Hyundai Verna SX 2013,"₹ 4,17,000",First Owner,2100 Km,Manual,Petrol,Sedan,17.4 kmpl,1591 cc,121 bhp,16 Inch,5 Seater
Volkswagen Vento Highline Petrol 2018,"₹ 6,00,000",First Owner,25119 Km,Manual,Petrol,Sedan,16.09 kmpl,1598 cc,103 bhp,15 inches,5 Seater
Hyundai Grand i10 Sportz 1.2 Kappa VTVT 2016,"₹ 3,85,000",First Owner,37564 Km,Manual,Petrol,Hatchback,18.9 kmpl,1197 cc,81 bhp,14,5 Seater
Maruti Suzuki Swift LDi 2010,"₹ 2,05,000",First Owner,38000 Km,Manual,Diesel,Hatchback,25.2kmpl,1248 cc,74bhp,14 Inch,5 Seater
Hyundai Creta 1.6 SX+ AT Diesel 2017,"₹ 9,87,000",First Owner,89000 Km,Automatic,Diesel,SUV,17.1 kmpl,1582 cc,126 bhp,17 Inch,5 Seater
Nissan Sunny XL DIESEL 2018,"₹ 5,47,000",First Owner,25000 Km,Manual,Diesel,Sedan,22.7 kmpl,1461 cc,84.8bhp,14 Inch,5 Seater
Maruti Suzuki Dzire ZDi 2018,"₹ 6,57,000",First Owner,25000 Km,Manual,Diesel,Sedan,28.4 kmpl,1248 cc,74 bhp,15 Inch,5 Seater
Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT BS6 2020,"₹ 8,00,000",First Owner,5900 Km,Manual,Petrol,Hatchback,20.7 kmpl,1197cc,82 bhp,14 Inches,5 Seater
Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT 2019,"₹ 6,99,000",First Owner,19000 Km,Automated Manual Transmission,Petrol,Hatchback,20.7 kmpl,1197cc,81 bhp,14 Inches,5 Seater
Hyundai Creta 1.6 SX Opt Petrol 2016,"₹ 8,65,000",First Owner,40181 Km,Manual,Petrol,SUV,15.29 kmpl,1582 cc,122 bhp,17 Inches,5 Seater
Mahindra Scorpio S10 1.99 Intelli-Hybrid 2017,"₹ 11,50,000",Second Owner,75000 Km,Manual,Diesel,SUV,16.36 kmpl,2179 cc,120 bhp,17'',7 Seater
Mahindra Scorpio S2 2015,"₹ 5,94,000",First Owner,50181 Km,Manual,Diesel,SUV,16.1 kmpl,2523 cc,75 bhp,15 Inch,5 Seater
Ford EcoSport Titanium 1.5L TDCi 2018,"₹ 8,75,000",First Owner,61500 Km,Manual,Diesel,SUV,18.88 kmpl,1498 cc,110,"15""",5 Seater
Maruti Suzuki Baleno Zeta AT 1.2 2019,"₹ 7,59,000",First Owner,17000 Km,Automatic,Petrol,Hatchback,21.4 kmpl,1197 cc,83.1bhp,15 Inch,5 Seater
Maruti Suzuki Swift LDi 2019,"₹ 5,00,000",First Owner,65000 Km,Manual,Diesel,Hatchback,25.2kmpl,1248 cc,74 bhp,14 Inches,5 Seater
Maruti Suzuki Wagon R VXi AMT Opt 2019,"₹ 5,59,000",First Owner,7700 Km,Automated Manual Transmission,Petrol,Hatchback,20.5 kmpl,998 cc,67 bhp,14 Inch,5 Seater
Honda Amaze 1.2 S i-VTEC 2018,"₹ 6,25,000",First Owner,29650 Km,Manual,Petrol,Sedan,19.5 kmpl,1198 cc,89 bhp,14 Inch,5 Seater
Toyota Innova Crysta 2.4 VX 7 STR 2016,"₹ 18,20,000",First Owner,55000 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,7 Seater
BMW 3 Series 320d Luxury Line 2013,"₹ 21,00,000",First Owner,2000 Km,Automatic,Diesel,Sedan,18.88 kmpl,1995 cc,184 bhp,17 Inch,5 Seater
Mercedes-Benz CLA 200 CDI Style 2013,"₹ 16,36,000",First Owner,50000 Km,Automatic,Diesel,Sedan,17.9 kmpl,2143 cc,134 bhp,17'',5 Seater
Mercedes-Benz S-Class S 350d 2018,"₹ 80,00,000",Third Owner,127000 Km,Automatic,Diesel,Sedan,13.5 kmpl,2987 cc,282 bhp,18 Inches,5 Seater
Toyota Innova Crysta 2.4 VX 7 STR 2019,"₹ 30,00,000",First Owner,5000 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,7 Seater
Toyota Fortuner Sigma 4 2018,"₹ 40,00,000",First Owner,5700 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Mercedes-Benz E-Class E 200 2018,"₹ 50,00,000",First Owner,5800 Km,Automatic,Petrol,Sedan,12.06 kmpl,1991 cc,184 bhp,R17,5 Seater
Toyota Innova Crysta 2.4 G 7 STR 2018,"₹ 20,00,000",First Owner,5500 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,7 Seater
Toyota Fortuner 2.8 4x4 AT 2018,"₹ 40,00,000",First Owner,8000 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Toyota Fortuner 2.8 4x4 AT 2018,"₹ 40,00,000",First Owner,5900 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Toyota Fortuner 2.8 4x4 AT 2018,"₹ 40,00,000",First Owner,5400 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Toyota Fortuner 2.8 4x4 AT 2018,"₹ 40,00,000",First Owner,5000 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Toyota Glanza G BS6 2020,"₹ 7,60,000",First Owner,18575 Km,Manual,Petrol,Hatchback,21.0 kmpl,1197 cc,88 bhp,16 Inches,5 Seater
Hyundai Santro Xing XL 2006,"₹ 1,00,000",First Owner,44000 Km,Manual,Petrol,Hatchback,12.8 kmpl,1086cc,63PS,13 Inch,5 Seater
Mercedes-Benz E-Class E 200 2018,"₹ 41,16,000",First Owner,12000 Km,Automatic,Petrol,Sedan,12.06 kmpl,1991 cc,184 bhp,R17,5 Seater
Honda Jazz VX CVT i-VTEC BS6 2020,"₹ 8,79,000",First Owner,19857 Km,Automatic,Petrol,Hatchback,18.7 kmpl,1198 cc,89 bhp,15 Inches,5 Seater
Toyota Innova Crysta 2.8 Z AT 7 STR 2016,"₹ 25,00,000",First Owner,9800 Km,Automatic,Diesel,MUV,14.29 kmpl,2755 cc,172 bhp,17 inch,7 Seater
Hyundai Elantra 1.8 SX AT 2015,"₹ 8,50,000",First Owner,41049 Km,Automatic,Petrol,Sedan,16.3 kmpl,1797 cc,147 bhp,16 Inch,5 Seater
Toyota Innova 2.5 E 7 STR 2014,"₹ 9,01,000",First Owner,75661 Km,Manual,Diesel,MUV,12.99 kmpl,2494 cc,100 bhp,15 Inch,5 Seater
Ford EcoSport TITANIUM 1.5 TI VCT AT 2014,"₹ 6,13,000",First Owner,62997 Km,Automatic,Petrol,SUV,18.88 kmpl,1499 cc,110,"15""",5 Seater
Chevrolet Beat LT Diesel 2011,"₹ 2,01,000",First Owner,70000 Km,Manual,Diesel,Hatchback,25.44 kmpl,936 cc,57 bhp,14 Inches,5 Seater
Nissan Sunny XL DIESEL 2012,"₹ 3,04,000",Second Owner,41496 Km,Manual,Diesel,Sedan,22.71kmpl,1461 cc,84.8bhp,14 Inch,5 Seater
Honda Civic 1.8V MT SUN ROOF 2011,"₹ 4,38,000",First Owner,64000 Km,Manual,Petrol,Sedan,14.8 kmpl,1799 cc,130 bhp,15 Inch,5 Seater
Honda Civic 1.8 V AT 2010,"₹ 3,55,500",First Owner,74378 Km,Automatic,Petrol,Sedan,14.8 kmpl,1799 cc,130 bhp,15 inch,5 Seater
Toyota Fortuner 2.8 4x4 AT 2018,"₹ 31,54,000",First Owner,42000 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Toyota Innova Crysta 2.4 G 7 STR BS6 2020,"₹ 25,00,000",First Owner,4800 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,7 Seater
Toyota Fortuner 2.8 4x4 AT 2020,"₹ 45,00,000",First Owner,5000 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inches,7 Seater
Toyota Fortuner Sigma 4 2020,"₹ 45,00,000",First Owner,5000 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Ford Endeavour Titanium Plus 2.0 4x4 AT BS6 2021,"₹ 45,00,000",First Owner,5000 Km,Automatic,Diesel,SUV,12.4 kmpl,1996 cc,168 bhp,18 inch,7 Seater
Toyota Innova Crysta 2.4 G 7 STR BS6 2020,"₹ 25,00,000",First Owner,4500 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,7 Seater
Mercedes-Benz E-Class E 220d Exclusive BS6 2020,"₹ 70,00,000",First Owner,25000 Km,Automatic,Diesel,Sedan,12.06 kmpl,1950 cc,192 bhp,17 Inches,5 Seater
Renault KWID RXL 2017,"₹ 3,04,000",First Owner,17572 Km,Manual,Petrol,Hatchback,25.17 kmpl,799 cc,53,13 Inch,5 Seater
Maruti Suzuki Ignis Delta 1.3 MT 2017,"₹ 5,40,700",First Owner,32261 Km,Manual,Diesel,Hatchback,26.8 kmpl,1248 cc,74 bhp,15,5 Seater
Tata Safari Storme 2.2 VX 4x2 2017,"₹ 10,00,000",First Owner,50000 Km,Manual,Diesel,SUV,14 kmpl,2179 cc,148 bhp,16'',5 Seater
Maruti Suzuki Swift LXi 2018,"₹ 7,00,000",First Owner,60000 Km,Manual,Petrol,Hatchback,22 kmpl,1197 cc,82 bhp,14 Inches,5 Seater
Maruti Suzuki Swift DZire VXi 2010,"₹ 4,00,000",First Owner,60000 Km,Manual,Petrol,Sedan,22 Kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Hyundai Santro Xing XK ERLX EURO II 2005,"₹ 2,00,000",First Owner,50000 Km,Manual,Petrol,Hatchback,12.8 kmpl,1086cc,63PS,13 Inch,5 Seater
BMW X3 xDrive 20d xLine 2019,"₹ 48,92,000",First Owner,23000 Km,Automatic,Diesel,SUV,18.56 kmpl,1995 cc,190bhp,18 Inch,5 Seater
Toyota Fortuner 3.0 MT 4X4 2011,"₹ 12,00,000",First Owner,50000 Km,Manual,Diesel,SUV,11.9 kmpl,2982 cc,169 bhp,17 Inch,5 Seater
Hyundai Santro SPORTZ 2019,"₹ 5,30,500",First Owner,23322 Km,Manual,Petrol,Hatchback,20.3 kmpl,1086 cc,68 bhp,13 Inches,5 Seater
Hyundai i10 Era 1.1 iRDE2 2009,"₹ 1,47,000",First Owner,60000 Km,Manual,Petrol,Hatchback,19.81 kmpl,1086 cc,68 bhp,13 Inch,5 Seater
Tata Manza VX Quadrajet 2013,"₹ 5,00,000",First Owner,50000 Km,Manual,Diesel,Sedan,21.2 kmpl,1248 cc,88 bhp,15'',5 Seater
Maruti Suzuki Swift DZire VDi 2015,"₹ 7,00,000",First Owner,50000 Km,Manual,Diesel,Sedan,26.59 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
Hyundai i20 Active 1.2 S 2016,"₹ 6,13,000",First Owner,26120 Km,Manual,Petrol,Crossover,17.19 kmpl,1197 cc,82 bhp,16 inch,5 Seater
Hyundai Creta 1.6 SX Petrol Dual Tone 2019,"₹ 12,61,750",First Owner,18358 Km,Manual,Petrol,SUV,15.29 kmpl,1582 cc,122 bhp,17 Inches,5 Seater
Maruti Suzuki Swift VXi 2010,"₹ 4,00,000",First Owner,50000 Km,Manual,Petrol,Hatchback,20.4 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Maruti Suzuki Swift VXi 2007,"₹ 3,00,000",First Owner,50000 Km,Manual,Petrol,Hatchback,20.4 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Honda City 1.5 V MT 2014,"₹ 8,00,000",First Owner,50000 Km,Manual,Petrol,Sedan,17.8 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
Hyundai Creta 1.6 SX Opt Diesel 2019,"₹ 18,00,000",First Owner,50000 Km,Manual,Diesel,SUV,19.67 kmpl,1582 cc,126 bhp,17 Inches,5 Seater
Toyota Fortuner 2.8 4x4 AT 2018,"₹ 31,78,000",First Owner,40000 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Maruti Suzuki Swift VDi 2012,"₹ 4,00,000",First Owner,50000 Km,Manual,Diesel,Hatchback,25.2kmpl,1248 cc,74bhp,14 Inch,5 Seater
Hyundai Elantra 1.6 SX AT 2015,"₹ 8,91,000",First Owner,41647 Km,Automatic,Diesel,Sedan,22.54 kmpl,1582 cc,126 bhp,16 Inch,5 Seater
Maruti Suzuki Swift VDi 2018,"₹ 8,00,000",First Owner,35000 Km,Manual,Diesel,Hatchback,28.4 kmpl,1248 cc,74 bhp,14 Inches,5 Seater
Honda City V CVT i-VTEC 2017,"₹ 9,52,700",First Owner,19000 Km,Automatic,Petrol,Sedan,18 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
Maruti Suzuki Ciaz Alpha 1.4 MT 2017,"₹ 7,57,000",First Owner,21266 Km,Manual,Petrol,Sedan,20.73 kmpl,1373 cc,91 bhp,16 Inch,5 Seater
Hyundai i10 Sportz 1.2 2013,"₹ 4,00,000",First Owner,50000 Km,Manual,Petrol,Hatchback,20 kmpl,1197 cc,80bhp,13 Inch,5 Seater
Honda Civic 1.8 S MT 2007,"₹ 3,00,000",First Owner,50000 Km,Manual,Petrol,Sedan,14.8 kmpl,1799 cc,130 bhp,15 inch,5 Seater
Mahindra Marazzo M6 7 STR 2018,"₹ 15,00,000",First Owner,50000 Km,Manual,Diesel,MUV,17.6 kmpl,1497 cc,121 bhp,16 Inches,8 Seater
Ford EcoSport TITANIUM 1.5 TI VCT AT 2016,"₹ 7,72,500",First Owner,32605 Km,Automatic,Petrol,SUV,18.88 kmpl,1499 cc,110,"15""",5 Seater
Skoda Octavia 1.8 TSI Ambition Plus AT 2014,"₹ 7,88,000",First Owner,62193 Km,Automatic,Petrol,Sedan,14.7 kmpl,1798 cc,177 bhp,16 Inch,5 Seater
Maruti Suzuki Swift VDi 2016,"₹ 6,00,000",First Owner,50000 Km,Manual,Diesel,Hatchback,25.2kmpl,1248 cc,74bhp,14 Inch,5 Seater
Maruti Suzuki Wagon R LXi BS-III 2006,"₹ 3,00,000",First Owner,50000 Km,Manual,Petrol,Hatchback,11.0kmpl,1061cc,64,13 Inch,5 Seater
